date,topic_Economy_taxes_tariffs_seed_binary,topic_Border_security_immigration_seed_binary,topic_Foreign_policy_seed_binary,topic_Energy_seed_binary,topic_Environment_seed_binary,topic_Government_reform_seed_binary,topic_Legal_battles_seed_binary,topic_Media_attacks_seed_binary,topic_Political_opposition_attacks_seed_binary,topic_Patriotism_seed_binary,topic_Domestic_social_initiatives_seed_binary,nmf_topic_0_binary,nmf_topic_1_binary,nmf_topic_2_binary,nmf_topic_3_binary,nmf_topic_4_binary,nmf_topic_5_binary,nmf_topic_6_binary,nmf_topic_7_binary,nmf_topic_8_binary,nmf_topic_9_binary,nmf_topic_10_binary,embedding_topic_0_binary,embedding_topic_1_binary,embedding_topic_2_binary,embedding_topic_3_binary,embedding_topic_4_binary,embedding_topic_5_binary,embedding_topic_6_binary,embedding_topic_7_binary,embedding_topic_8_binary,embedding_topic_9_binary,embedding_topic_10_binary,raw_char_count,clean_char_count,word_count,topic_Economy_taxes_tariffs_seed_count,topic_Border_security_immigration_seed_count,topic_Foreign_policy_seed_count,topic_Energy_seed_count,topic_Environment_seed_count,topic_Government_reform_seed_count,topic_Legal_battles_seed_count,topic_Media_attacks_seed_count,topic_Political_opposition_attacks_seed_count,topic_Patriotism_seed_count,topic_Domestic_social_initiatives_seed_count,nmf_topic_0_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score,nmf_topic_9_score,nmf_topic_10_score,Economy_taxes_tariffs_topic_sentence_count,Border_security_immigration_topic_sentence_count,Foreign_policy_topic_sentence_count,Energy_topic_sentence_count,Environment_topic_sentence_count,Government_reform_topic_sentence_count,Legal_battles_topic_sentence_count,Media_attacks_topic_sentence_count,Political_opposition_attacks_topic_sentence_count,Patriotism_topic_sentence_count,Domestic_social_initiatives_topic_sentence_count,vix_close,delta_vix,vix_pct_change,vix_lag1,delta_vix_lag1,sp500_close,sp500_return,sp500_return_lag1,sp500_rolling_vol_5d,sp500_rolling_vol_10d
2025-05-27,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,22550.666666666668,22159.33333333333,12260,6.666666666666667,1.6666666666666667,25.666666666666668,0.0,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,23.0,4.0,0.0393696547443224,0.050246343738391,0.1008183863219686,0.4154644577410855,0.0,0.0055087108187566,0.0257571439483652,0.1378060124977858,0.0200612598952907,0.0944604529180621,0.1105075773759717,6.0,1.0,22.33333333333333,0.0,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,18.0,4.0,18.96,-1.6099999999999994,-0.07826932425862909,20.57,-1.7199999999999989,5921.54,0.020459018201495205,-0.006708307585916562,0.013510784950941325,0.009668044276745306
2025-05-28,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,30734.0,29082.0,5358,29.0,1.0,51.0,1.0,0.0,1.0,18.0,4.0,11.0,8.0,7.0,0.1680545590624627,0.0442138284209409,0.0466808100643629,0.0210013392997962,0.0361601580369893,0.0,0.2314137147646962,0.0151041891457708,0.1805718856233758,0.0899360635457347,0.16686345203587,26.0,1.0,42.0,1.0,0.0,1.0,14.0,2.0,10.0,8.0,7.0,19.31,0.34999999999999787,0.01845991561181415,18.96,-1.6099999999999994,5888.55,-0.005571185873944895,0.020459018201495205,0.013610999600726733,0.009650082184328886
2025-05-30,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,27574.0,26975.0,9949,73.5,8.0,11.0,3.0,0.0,3.0,0.0,3.0,2.5,15.0,5.5,0.3254301157060626,0.0,0.083549547577622,0.0994126660732872,0.06089225773158,0.0493653416737178,0.0,0.0117527456722806,0.1746949048788258,0.1366492731654488,0.0582531475211749,59.5,7.0,9.5,2.5,0.0,2.0,0.0,3.0,2.5,13.5,5.0,18.57,-0.6099999999999994,-0.031803962460896784,19.18,-0.129999999999999,5911.69,-8.118846379590039e-05,0.004011174227950942,0.010970175360882916,0.009638596436184255
2025-06-04,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2166.0,2039.0,335,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.1861460390116082,0.0388092487782648,0.0,0.3777638044602939,0.1207382315932785,0.0783275696595247,0.1982151064970297,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,17.61,-0.08000000000000185,-0.004522328999434833,17.69,-0.6699999999999982,5970.81,7.369727504324963e-05,0.005800260784307065,0.002640834462493578,0.009537591976709075
2025-06-05,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7572.0,7328.5,2576,4.5,13.0,2.5,0.0,0.5,5.0,2.5,0.5,2.0,4.0,1.5,0.0192058153772111,0.0,0.2502745099950685,0.0721321786742644,0.0,0.0072291712516508,0.4206386500740848,0.0,0.0,0.0,0.2305196746277202,3.5,10.5,1.5,0.0,0.5,5.0,2.0,0.5,2.0,3.5,1.5,18.48,0.870000000000001,0.04940374787052826,17.61,-0.08000000000000185,5939.3,-0.005277340930292529,7.369727504324963e-05,0.004303135952268788,0.007905375506173925
2025-06-06,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,17391.0,15435.0,2949,23.0,1.0,36.0,0.0,0.0,8.0,1.0,2.0,2.0,0.0,0.0,0.1532322486375779,0.0351280382474345,0.0517658595314212,0.0,0.0,0.0122273544670477,0.0365197356738989,0.0,0.3608392758474704,0.0739089358467753,0.2763785517483737,22.0,1.0,25.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,16.77,-1.7100000000000009,-0.09253246753246758,18.48,0.870000000000001,6000.36,0.010280672806559643,-0.005277340930292529,0.005897916758813536,0.008308926027728853
2025-06-09,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,19381.0,18682.666666666668,10229,16.666666666666668,4.0,17.0,0.6666666666666666,0.0,2.6666666666666665,2.0,1.0,1.3333333333333333,14.0,4.0,0.0557579716940243,0.0083542095466474,0.087093624824523,0.0574986365961081,0.0206993966934469,0.0215763394536038,0.5651825779349948,0.0079643251327201,0.0731251273760353,0.0959154167049942,0.0068323740429015,14.0,3.0,15.0,0.6666666666666666,0.0,2.333333333333333,1.3333333333333333,1.0,1.3333333333333333,13.333333333333334,4.0,17.16,0.39000000000000057,0.023255813953488413,16.77,-1.7100000000000009,6005.88,0.0009199448033119229,0.010280672806559643,0.005920354002263196,0.007674214000209269
2025-06-10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30014.0,29402.33333333333,16110,4.333333333333333,4.333333333333333,19.33333333333333,0.3333333333333333,2.0,5.333333333333333,1.6666666666666667,2.6666666666666665,6.333333333333333,16.333333333333332,3.333333333333333,0.0287188493146194,0.022554770613717,0.0498356681742798,0.2398527856750716,0.0050156732001612,0.0116515387628941,0.5782839029101393,0.0026806695837832,0.0189318504644811,0.0329601923152214,0.0095140989856316,3.0,3.6666666666666665,17.666666666666668,0.3333333333333333,2.0,4.666666666666667,1.6666666666666667,2.333333333333333,5.666666666666667,14.0,3.0,16.95,-0.21000000000000085,-0.012237762237762295,17.16,0.39000000000000057,6038.81,0.005482960032501483,0.0009199448033119229,0.005875784292922733,0.0049787357141069105
2025-06-11,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9367.0,8739.0,1654,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.080349481848871,0.0435219031656212,0.4315608284371942,0.0226304621353882,0.0,0.0,0.3868623086672426,0.0350750157456827,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.26,0.3100000000000023,0.01828908554572295,16.95,-0.21000000000000085,6022.24,-0.002743918089822439,0.005482960032501483,0.006264456151777585,0.004565806179222809
2025-06-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,72101.0,71701.0,13234,77.0,8.0,66.0,51.0,11.0,11.0,2.0,5.0,7.0,24.0,8.0,0.4149178928781508,0.0650451825045952,0.1337435295829961,0.016234503753356,0.0,0.0,0.1091023737612949,0.0684145273638628,0.0,0.1849782640727371,0.0075637260830068,60.0,7.0,59.0,34.0,11.0,10.0,2.0,5.0,7.0,23.0,8.0,18.02,0.759999999999998,0.044032444959443584,17.26,0.3100000000000023,6045.26,0.0038224979409655635,-0.002743918089822439,0.004889864817715582,0.004558134454121398
